,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,avg_rs_max,avg_rCovalent,avg_vIonic,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_rIonic,avg_vCovalent,avg_mass,lattice_angle_alpha_degree_r,lattice_angle_beta_degree_r,lattice_angle_gamma_degree_r,vol,atomic_density,Al_coord, Al_O_mean, Ga_coord, Ga_O_mean, In_coord, In_O_mean, O_coord,Hf_log,band_log,Al?,Ga?,In?
1,80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.99799999999998,120.0025,0.249,2.9210000000000003,1.0775,1.21375,1.4946977246250002,1.685,1.43625,0.27875,-5.7943250000000015,2.75375,-0.200725,-2.710125,0.6812499999999999,7.490263221,43.009586625,1.5711209580357677,1.5707614202098563,2.094438735624496,782.5001097924257,0.1022364073804688,5.55,1.96987133456,5.416666666666668,1.9420656838,0.0,0.0,3.6666666666666665,-1.3903023825174294,1.071926023405604,1,1,0
4,80.0,0.0,0.625,0.375,6.6614,6.6612,24.5813,89.99600000000002,90.0006,119.9893,0.0505,1.3793,1.0275,1.295,2.45391477675,1.79875,1.3525,0.341875,-5.7129,2.0775,-0.18475,-2.7515,0.775,9.25152122125,86.633625,1.5707265136248172,1.5708067987704086,2.094208352163232,944.7138434058064,0.08468172723243941,0.0,0.0,5.2,2.0139292076,6.0,2.19499376189,3.6666666666666665,-2.985781942700823,0.3215761240993371,0,1,1
9,80.0,0.4062,0.5938,0.0,6.2520000000000024,6.2520000000000024,23.7931,90.0172,89.9994,119.9997,0.1994,2.5187,1.046868,1.215938,1.6151534766078002,1.72876,1.399054,0.22667559999999998,-5.80268316,2.54589,-0.16829884,-2.7177830000000003,0.6878139999999999,7.5308525796976,52.36141837932,1.5710965234262395,1.5707858548193845,2.0943898664054394,805.4171778167835,0.09932740721628666,5.384615384615384,1.95383793898,5.57894736842105,1.99505574972,0.0,0.0,3.6666666666666665,-1.612442421454399,0.9237428953991947,1,1,0
11,80.0,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.99799999999998,120.0021,0.259,2.8805,1.073132,1.214062,1.5118742303922001,1.69124,1.4309459999999998,0.2713244,-5.79551684,2.72411,-0.19610116,-2.7112170000000004,0.682186,7.4960511003024015,44.34312022068,1.5711261940235235,1.5707614202098563,2.094431754307488,785.7026665336897,0.10181968753261156,5.57894736842105,1.97845459027,5.384615384615384,1.93780652986,0.0,0.0,3.6666666666666665,-1.3509272172825992,1.0579638901903008,1,1,0
14,80.0,0.375,0.125,0.5,6.6318,6.6314,24.4597,90.0152,90.0071,119.9918,0.39,0.9251,1.0925,1.31625,2.452511859375,1.7200000000000002,1.42375,0.5017499999999999,-5.663475,2.40625,-0.265875,-2.744875,0.7887500000000001,9.730393666,76.242451975,1.5710616168411995,1.570920245171788,2.094251985394532,931.6531314191272,0.08586886825372568,5.583333333333332,2.09743808681,5.5,2.0783497642400004,5.4375,2.06364956179,3.6666666666666665,-0.941608539858445,-0.07785343920486411,1,1,1
16,80.0,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.00299999999999,120.0051,0.2544,2.2913,1.119889,1.2170559999999997,1.3908844323957,1.627643,1.485793,0.3632906,-5.774240380000001,3.01381,-0.24876531,-2.7016322,0.678984,7.5742276831828,32.39067937932,1.5709516610983238,1.570848686672456,2.0944841141850468,761.7659226102098,0.10501913727760097,5.482758620689657,1.93854009637,6.0,2.03583321071,5.0,1.82957180831,3.6666666666666665,-1.3688474475161698,0.8291193420831598,1,1,1
23,80.0,0.1562,0.5625,0.2812,6.5405,6.5403,24.3429,90.0046,90.0031,119.9922,0.2753,1.1811,1.0398889999999998,1.274556,2.2138721441457005,1.770143,1.373293,0.3260406,-5.7326903799999975,2.2463100000000003,-0.18871531,-2.7408822,0.751484,8.810236000682801,75.72052542931998,1.5708766119404882,1.5708504320017085,2.09425896671154,901.8736361368144,0.08870422284731694,5.4,2.0324354004700003,5.5,2.05552786578,5.5555555555555545,2.06799779563,3.6666666666666665,-1.2898938668335755,0.1664462076356645,1,1,1
30,80.0,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,0.3269,1.546,1.072611,1.285444,2.2136474246043,1.7311070000000002,1.409207,0.4060844,-5.70910962,2.41119,-0.22933469,-2.7381178,0.7585160000000001,9.0516136640672,70.53911887068001,1.5710110022928918,1.570890574574504,2.094281655991816,895.6248268863394,0.08932311566007149,5.454545454545454,2.04041883572,5.5,2.0507910685,5.545454545454546,2.06099326964,3.6666666666666665,-1.118100965251972,0.4356709501652302,1,1,1
39,80.0,0.0938,0.4688,0.4375,6.6763,6.676,24.590999999999998,90.0029,90.0,119.9897,0.2545,0.927,1.0469810000000002,1.306684,2.5049817661041,1.778296,1.3723290000000001,0.3995249,-5.69234866,2.153076,-0.21143697,-2.7517402000000004,0.784756,9.509100253059,85.44988572068,1.5708469413432042,1.5707963267948966,2.09421533348024,949.3012618888507,0.08427250990989077,5.666666666666668,2.1293963070200004,5.4,2.06758023589,5.571428571428571,2.10799843707,3.6666666666666665,-1.3684544429915595,-0.07580171341628185,1,1,1
43,80.0,0.9688,0.0312,0.0,6.0828,6.0824,23.3707,90.0062,90.0015,120.0065,0.2093,3.9989,1.125632,1.210312,1.3054258437672,1.61624,1.4946959999999998,0.3605744,-5.781191840000001,3.0803599999999998,-0.25167616,-2.6980920000000004,0.670936,7.4264852433024,28.315072195680003,1.5709045372085202,1.5708225067336763,2.094508548794575,748.7768578069565,0.1068409088313797,5.483870967741934,1.92763028888,6.0,2.02366358381,0.0,0.0,3.6666666666666665,-1.5639866495301828,1.386019323300457,1,1,0
46,80.0,0.6875,0.2188,0.0938,6.2346,6.2343,23.7022,90.0153,90.0037,120.0014,0.3124,2.0234,1.0957290000000002,1.232007,1.6143396581496,1.6698669999999998,1.452636,0.346635,-5.76618028,2.792705,-0.22917103,-2.7130883000000003,0.698205,7.890977633764797,44.5751285875,1.5710633621704515,1.5708609039772201,2.0944195370027234,797.828284173542,0.1002722034138847,5.5,1.97246305333,5.571428571428571,1.98729283581,5.333333333333333,1.9363154329400003,3.6666666666666665,-1.163470861016606,0.704779264789653,1,1,1
49,80.0,0.8438,0.125,0.0312,6.142,6.1416,23.5046,90.0119,90.0019,120.0044,0.2261,3.4819,1.111252,1.217802,1.425421321767,1.6403040000000002,1.4753180000000001,0.34845239999999994,-5.77720588,2.954746,-0.23952844,-2.7040894,0.680926,7.5865640624192,35.064718870680004,1.571004020975884,1.5708294880506846,2.0944718968802842,767.8131825460747,0.10419201157073044,5.481481481481482,1.9434122461,5.5,1.9472291457,6.0,2.04137917408,3.6666666666666665,-1.4867778996982128,1.2475781218066568,1,1,1
