number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,avg_rs_max,avg_rCovalent,avg_vIonic,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_rIonic,avg_vCovalent,avg_mass,lattice_angle_alpha_degree_r,lattice_angle_beta_degree_r,lattice_angle_gamma_degree_r,vol,atomic_density,SG_33,SG_194,SG_227,SG_167,SG_12,SG_206,Al_coord, Al_O_mean, Ga_coord, Ga_O_mean, In_coord, In_O_mean, O_coord
80.0,0.625,0.375,0.0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,0.068,3.4387,1.0775,1.21375,1.4946977246250002,1.685,1.43625,0.27875,-5.7943250000000015,2.75375,-0.200725,-2.710125,0.6812499999999999,7.490263221,43.009586625,1.5708417053554484,1.5708364693676926,1.5708259973921803,781.0520809134047,0.1024259482241487,1,0,0,0,0,0,5.2,1.93955945083,5.333333333333333,1.9425739860900002,0.0,0.0,3.5
80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.99799999999998,120.0025,0.249,2.9210000000000003,1.0775,1.21375,1.4946977246250002,1.685,1.43625,0.27875,-5.7943250000000015,2.75375,-0.200725,-2.710125,0.6812499999999999,7.490263221,43.009586625,1.5711209580357677,1.5707614202098563,2.094438735624496,782.5001097924257,0.1022364073804688,0,1,0,0,0,0,5.55,1.9698713345599996,5.416666666666668,1.9420656837999999,0.0,0.0,3.6666666666666665
40.0,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,0.1821,2.7438,1.1037499999999998,1.211875,1.3914735313125,1.6475,1.468125,0.323375,-5.7871625,2.931875,-0.2285125,-2.7035625000000003,0.675625,7.455480292499999,34.995562612499995,1.5877050765882177,1.5903928836362888,0.5326483077698895,391.22753081666167,0.10224229342066657,0,0,1,0,0,0,5.538461538461538,1.9466077443799998,4.666666666666667,1.88180538564,0.0,0.0,3.583333333333333
30.0,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.2172,3.3492,1.12,1.2625,1.8359725342500002,1.6525,1.4725,0.44975,-5.71935,2.8175,-0.27035,-2.71875,0.7275,8.563951205499999,48.94065395,1.570600849918673,1.571004020975884,2.0944247729904792,293.3773344671125,0.10225738826924613,0,0,0,1,0,0,6.0,2.00766276222,0.0,0.0,6.0,2.00766276315,4.0
80.0,0.0,0.625,0.375,6.6614,6.6612,24.5813,89.99600000000002,90.0006,119.9893,0.0505,1.3793,1.0275,1.295,2.45391477675,1.79875,1.3525,0.341875,-5.7129,2.0775,-0.18475,-2.7515,0.775,9.25152122125,86.633625,1.5707265136248172,1.5708067987704086,2.094208352163232,944.7138434058065,0.08468172723243941,0,1,0,0,0,0,0.0,0.0,5.2,2.0139292076,6.0,2.19499376189,3.6666666666666665
40.0,0.5625,0.4375,0.0,9.8456,5.7176,14.1244,91.1235,91.3033,30.573,0.2209,2.1633,1.06875,1.214375,1.5291057890625,1.6975,1.425625,0.263875,-5.7967125,2.694375,-0.1914625,-2.7123125000000003,0.683125,7.5018575305,45.6809279625,1.5904051009410534,1.5935432029361385,0.5335995122122263,404.3155782668508,0.09893262132383074,0,0,1,0,0,0,5.5555555555555545,1.9690889074400002,5.142857142857143,1.9413780364400002,0.0,0.0,3.583333333333333
80.0,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,0.0562,0.9854,1.081868,1.394688,3.2569201479828,1.77751,1.3878039999999998,0.6318005999999999,-5.57130816,1.9971400000000001,-0.29157384,-2.776408,0.874064,11.439486548947599,107.84759140431999,1.5708120347581649,1.5708102894289124,1.5707736375146206,1050.7759468782083,0.0761342132332541,0,0,0,0,0,1,6.0,2.17136943222,6.0,2.1900138301,6.0,2.19334362162,4.0
20.0,0.5,0.0,0.5,12.135,3.1533,6.2879999999999985,89.9997,105.179,90.0001,0.2243,1.7179,1.11,1.315,2.3836957305,1.695,1.4449999999999998,0.5315,-5.6587,2.525,-0.2844,-2.7405,0.785,9.707205047,70.8997693,1.5707910908071407,1.835719853955116,1.5707980721241486,232.2178272348881,0.08612603191644723,0,0,0,0,1,0,4.0,2.03515276092,0.0,0.0,3.0,1.93206822727,2.333333333333333
80.0,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.00299999999999,89.9978,0.2193,2.6257,1.0893680000000001,1.2646879999999998,1.9564282862328002,1.6962599999999999,1.4353040000000001,0.39767559999999996,-5.7277081600000015,2.60964,-0.23792384,-2.726408,0.7340639999999999,8.604540564197599,58.29248570431999,1.5708399600261964,1.570848686672456,1.5707579295513527,831.2468733460803,0.09624096350338136,0,0,0,0,0,1,6.0,2.02645811835,6.0,2.03036589308,6.0,2.0275991620099996,4.0
80.0,0.4062,0.5938,0.0,6.252000000000002,6.252000000000002,23.7931,90.0172,89.9994,119.9997,0.1994,2.5187,1.0468680000000001,1.215938,1.6151534766078002,1.7287599999999999,1.399054,0.2266756,-5.80268316,2.54589,-0.16829884,-2.7177830000000003,0.6878139999999999,7.5308525796976,52.36141837932,1.5710965234262395,1.5707858548193845,2.0943898664054394,805.4171778167835,0.09932740721628666,0,1,0,0,0,0,5.384615384615384,1.95383793898,5.578947368421051,1.99505574972,0.0,0.0,3.6666666666666665
60.0,0.5833,0.4167,0.0,9.8307,4.915,13.3346,89.9909,90.0103,120.0011,0.0581,3.8723,1.0716620000000001,1.214167,1.5176547852177,1.69334,1.429161,0.26882540000000005,-5.795917940000002,2.7141349999999997,-0.19454506,-2.7115845000000003,0.682501,7.497998944298401,44.79190556538001,1.5706375018329648,1.5709760957078518,2.0944143010149667,557.9737490762748,0.10753194052467516,0,0,0,1,0,0,6.0,1.9742813557700003,6.0,1.97428201375,0.0,0.0,4.0
80.0,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.99799999999998,120.0021,0.259,2.8805,1.073132,1.214062,1.5118742303922,1.69124,1.4309459999999998,0.2713244,-5.79551684,2.72411,-0.19610116,-2.7112170000000004,0.682186,7.4960511003024015,44.34312022068,1.5711261940235235,1.5707614202098563,2.0944317543074877,785.7026665336897,0.10181968753261156,0,1,0,0,0,0,5.578947368421051,1.9784545902700001,5.384615384615384,1.9378065298599998,0.0,0.0,3.6666666666666665
40.0,0.8125,0.1875,0.0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015,0.0535,3.9039,1.1037499999999998,1.211875,1.3914735313125,1.6475,1.468125,0.323375,-5.7871625,2.931875,-0.2285125,-2.7035625000000003,0.675625,7.455480292499999,34.995562612499995,1.5708731212819844,1.5708382146969444,1.5708225067336763,380.7053020395308,0.1050681453231943,1,0,0,0,0,0,5.384615384615384,1.93630526962,4.666666666666667,1.86410474338,0.0,0.0,3.5
80.0,0.125,0.875,0.0,9.3513,9.3512,9.3507,90.0059,90.0051,89.9933,0.078,2.5371,1.0074999999999998,1.21875,1.769962240125,1.785,1.35125,0.15975,-5.8134250000000005,2.27875,-0.126625,-2.727625,0.6962499999999999,7.583017697000001,64.380317325,1.5708993012207642,1.5708853385867485,1.5706793897350129,817.6801447853651,0.09783776762856264,0,0,0,0,0,1,6.0,1.9972078779099998,6.0,2.0192695018099998,0.0,0.0,4.0
80.0,0.375,0.125,0.5,6.6318,6.6314,24.4597,90.0152,90.0071,119.9918,0.39,0.9251,1.0925,1.31625,2.452511859375,1.7200000000000002,1.42375,0.5017499999999999,-5.663475,2.40625,-0.265875,-2.744875,0.7887500000000001,9.730393666,76.242451975,1.5710616168411995,1.570920245171788,2.094251985394532,931.6531314191272,0.08586886825372568,0,1,0,0,0,0,5.583333333333332,2.09743808681,5.5,2.0783497642400004,5.4375,2.06364956179,3.6666666666666665
80.0,0.4375,0.1875,0.375,24.3679,6.2545,6.1721,89.9997,104.8418,90.0001,0.166,1.5852,1.08875,1.290625,2.2130583256875003,1.7112500000000002,1.426875,0.446,-5.6961875000000015,2.493125,-0.2495875,-2.7361875,0.7618750000000001,9.17036105475,67.9342356375,1.5707910908071407,1.829834603717391,1.5707980721241486,909.2995296160016,0.08797981016638612,0,0,0,0,1,0,4.714285714285714,1.96886944,4.666666666666667,1.9650340601499998,5.5,2.02256475794,3.333333333333333
80.0,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.00299999999999,120.0051,0.2544,2.2913,1.119889,1.2170559999999997,1.3908844323957,1.627643,1.485793,0.3632906,-5.774240380000001,3.01381,-0.24876531,-2.7016322,0.678984,7.5742276831828,32.39067937932,1.5709516610983238,1.570848686672456,2.0944841141850468,761.7659226102099,0.10501913727760097,0,1,0,0,0,0,5.482758620689656,1.93854009637,6.0,2.03583321071,5.0,1.8295718083099997,3.6666666666666665
80.0,0.0,0.4062,0.5938,24.765,6.5014,6.4860000000000015,90.0003,105.241,90.0,0.0503,1.1844,1.0493800000000002,1.33876,2.8128263661252,1.792186,1.365628,0.46549700000000005,-5.65146096,2.0293639999999997,-0.22947272,-2.7628776000000004,0.8187599999999999,10.2115076246332,96.500411,1.5708015627826524,1.8368019580913524,1.5707963267948966,1007.5633115130677,0.07939947702131316,0,0,0,0,1,0,0.0,0.0,4.0,1.9729788914700002,5.684210526315789,2.10466038902,3.333333333333333
