number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,avg_rs_max,avg_rCovalent,avg_vIonic,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_rIonic,avg_vCovalent,avg_mass,lattice_angle_alpha_degree_r,lattice_angle_beta_degree_r,lattice_angle_gamma_degree_r,vol,atomic_density,SG_33,SG_194,SG_227,SG_167,SG_12,SG_206,Al_coord, Al_O_mean, Ga_coord, Ga_O_mean, In_coord, In_O_mean, O_coord,Hf_log,band_log,Al?,Ga?,In?
80.0,0.625,0.375,0.0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,0.068,3.4387,1.0775,1.21375,1.4946977246250002,1.685,1.43625,0.27875,-5.7943250000000015,2.75375,-0.200725,-2.710125,0.6812499999999999,7.490263221,43.009586625,1.5708417053554484,1.5708364693676926,1.5708259973921803,781.0520809134047,0.1024259482241487,1,0,0,0,0,0,5.2,1.93955945083,5.333333333333333,1.94257398609,0.0,0.0,3.5,-2.6882475738060303,1.235093492983726,1,1,0
80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.99799999999998,120.0025,0.249,2.9210000000000003,1.0775,1.21375,1.4946977246250002,1.685,1.43625,0.27875,-5.7943250000000015,2.75375,-0.200725,-2.710125,0.6812499999999999,7.490263221,43.009586625,1.5711209580357677,1.5707614202098563,2.094438735624496,782.5001097924257,0.1022364073804688,0,1,0,0,0,0,5.55,1.96987133456,5.416666666666668,1.9420656838,0.0,0.0,3.6666666666666665,-1.3903023825174294,1.071926023405604,1,1,0
40.0,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,0.1821,2.7438,1.1037499999999998,1.211875,1.3914735313125,1.6475,1.468125,0.323375,-5.7871625,2.931875,-0.2285125,-2.7035625000000003,0.675625,7.455480292499999,34.995562612499995,1.5877050765882177,1.5903928836362888,0.5326483077698895,391.22753081666167,0.10224229342066657,0,0,1,0,0,0,5.538461538461538,1.94660774438,4.666666666666667,1.88180538564,0.0,0.0,3.583333333333333,-1.7031992922485748,1.0093438209099275,1,1,0
30.0,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.2172,3.3492,1.12,1.2625,1.83597253425,1.6525,1.4725,0.44975,-5.71935,2.8175,-0.27035,-2.71875,0.7275,8.563951205499999,48.94065395,1.570600849918673,1.571004020975884,2.0944247729904792,293.3773344671125,0.10225738826924613,0,0,0,1,0,0,6.0,2.00766276222,0.0,0.0,6.0,2.00766276315,4.0,-1.5269366909223567,1.2087215113481398,1,0,1
80.0,0.0,0.625,0.375,6.6614,6.6612,24.5813,89.99600000000002,90.0006,119.9893,0.0505,1.3793,1.0275,1.295,2.45391477675,1.79875,1.3525,0.341875,-5.7129,2.0775,-0.18475,-2.7515,0.775,9.25152122125,86.633625,1.5707265136248172,1.5708067987704086,2.094208352163232,944.7138434058064,0.08468172723243941,0,1,0,0,0,0,0.0,0.0,5.2,2.0139292076,6.0,2.19499376189,3.6666666666666665,-2.985781942700823,0.3215761240993371,0,1,1
40.0,0.5625,0.4375,0.0,9.8456,5.7176,14.1244,91.1235,91.3033,30.573,0.2209,2.1633,1.06875,1.214375,1.5291057890625,1.6975,1.425625,0.263875,-5.7967125,2.694375,-0.1914625,-2.7123125000000003,0.683125,7.5018575305,45.6809279625,1.5904051009410534,1.5935432029361385,0.5335995122122263,404.3155782668508,0.09893262132383074,0,0,1,0,0,0,5.5555555555555545,1.96908890744,5.142857142857143,1.94137803644,0.0,0.0,3.583333333333333,-1.5100451685560654,0.7716348336086865,1,1,0
80.0,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,0.0562,0.9854,1.081868,1.394688,3.2569201479828,1.77751,1.3878039999999998,0.6318005999999999,-5.57130816,1.99714,-0.29157384,-2.776408,0.874064,11.439486548947599,107.84759140431999,1.5708120347581649,1.5708102894289124,1.5707736375146206,1050.7759468782083,0.0761342132332541,0,0,0,0,0,1,6.0,2.17136943222,6.0,2.1900138301,6.0,2.19334362162,4.0,-2.8788385220824915,-0.014707628872274288,1,1,1
20.0,0.5,0.0,0.5,12.135,3.1533,6.287999999999999,89.9997,105.179,90.0001,0.2243,1.7179,1.11,1.315,2.3836957305,1.695,1.4449999999999998,0.5315,-5.6587,2.525,-0.2844,-2.7405,0.785,9.707205047,70.8997693,1.5707910908071407,1.835719853955116,1.5707980721241486,232.2178272348881,0.08612603191644723,0,0,0,0,1,0,4.0,2.03515276092,0.0,0.0,3.0,1.93206822727,2.333333333333333,-1.4947708374559745,0.5411026146502628,1,0,1
80.0,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.00299999999999,89.9978,0.2193,2.6257,1.089368,1.2646879999999998,1.9564282862328,1.69626,1.435304,0.3976756,-5.7277081600000015,2.60964,-0.23792384,-2.726408,0.7340639999999999,8.604540564197599,58.29248570431999,1.5708399600261964,1.570848686672456,1.5707579295513527,831.2468733460803,0.09624096350338136,0,0,0,0,0,1,6.0,2.02645811835,6.0,2.03036589308,6.0,2.02759916201,4.0,-1.5173146235582946,0.9653475271610179,1,1,1
80.0,0.4062,0.5938,0.0,6.2520000000000024,6.2520000000000024,23.7931,90.0172,89.9994,119.9997,0.1994,2.5187,1.046868,1.215938,1.6151534766078002,1.72876,1.399054,0.22667559999999998,-5.80268316,2.54589,-0.16829884,-2.7177830000000003,0.6878139999999999,7.5308525796976,52.36141837932,1.5710965234262395,1.5707858548193845,2.0943898664054394,805.4171778167835,0.09932740721628666,0,1,0,0,0,0,5.384615384615384,1.95383793898,5.57894736842105,1.99505574972,0.0,0.0,3.6666666666666665,-1.612442421454399,0.9237428953991947,1,1,0
60.0,0.5833,0.4167,0.0,9.8307,4.915,13.3346,89.9909,90.0103,120.0011,0.0581,3.8723,1.071662,1.214167,1.5176547852177,1.69334,1.4291610000000001,0.26882540000000005,-5.7959179400000025,2.714135,-0.19454506,-2.7115845000000003,0.682501,7.497998944298401,44.79190556538001,1.5706375018329648,1.5709760957078518,2.0944143010149667,557.9737490762748,0.10753194052467516,0,0,0,1,0,0,6.0,1.9742813557700003,6.0,1.97428201375,0.0,0.0,4.0,-2.8455896151242714,1.3538486457518046,1,1,0
