Al_coord, Al_O_mean, Ga_coord, Ga_O_mean, In_coord, In_O_mean, O_coord
5.2,1.93955945083,5.333333333333333,1.94257398609,0,0,3.5
5.55,1.96987133456,5.416666666666667,1.9420656838,0,0,3.6666666666666665
5.538461538461538,1.94660774438,4.666666666666667,1.88180538564,0,0,3.5833333333333335
6.0,2.00766276222,0,0,6.0,2.00766276315,4.0
0,0,5.2,2.0139292076,6.0,2.19499376189,3.6666666666666665
5.555555555555555,1.96908890744,5.142857142857143,1.94137803644,0,0,3.5833333333333335
6.0,2.17136943222,6.0,2.1900138301,6.0,2.19334362162,4.0
4.0,2.03515276092,0,0,3.0,1.93206822727,2.3333333333333335
6.0,2.02645811835,6.0,2.03036589308,6.0,2.02759916201,4.0
5.384615384615385,1.95383793898,5.578947368421052,1.99505574972,0,0,3.6666666666666665
6.0,1.97428135577,6.0,1.97428201375,0,0,4.0
5.578947368421052,1.97845459027,5.384615384615385,1.93780652986,0,0,3.6666666666666665
5.384615384615385,1.93630526962,4.666666666666667,1.86410474338,0,0,3.5
6.0,1.99720787791,6.0,2.01926950181,0,0,4.0
5.583333333333333,2.09743808681,5.5,2.07834976424,5.4375,2.06364956179,3.6666666666666665
4.714285714285714,1.96886944,4.666666666666667,1.96503406015,5.5,2.02256475794,3.3333333333333335
5.482758620689655,1.93854009637,6.0,2.03583321071,5.0,1.82957180831,3.6666666666666665
0,0,4.0,1.97297889147,5.684210526315789,2.10466038902,3.3333333333333335
6.0,2.03535443735,6.0,2.0353544431,6.0,2.03535443917,4.0
3.0,1.95049928369,3.5,2.01103375212,3.75,2.03524753949,2.3333333333333335
0,0,4.583333333333333,2.04846085961,5.65,2.15198602537,3.5
6.0,1.97170066672,6.0,1.97170066254,0,0,4.0
6.0,2.03142149646,0,0,6.0,2.03142148611,4.0
5.4,2.03243540047,5.5,2.05552786578,5.555555555555555,2.06799779563,3.6666666666666665
6.0,1.97272353614,6.0,1.97272354973,6.0,1.972723552,4.0
5.285714285714286,1.94822127869,0,0,5.0,1.90693269506,3.5
5.714285714285714,2.05267167075,5.5,2.03848417255,4.8,1.98541143443,3.5833333333333335
5.428571428571429,1.93695941106,5.0,1.90605940552,0,0,3.5833333333333335
4.666666666666667,1.99773959646,4.875,2.01423149064,5.230769230769231,2.03935737649,3.3333333333333335
6.0,1.98570261061,6.0,1.96526115658,6.0,1.98044823959,4.0
5.454545454545454,2.04041883572,5.5,2.0507910685,5.545454545454546,2.06099326964,3.6666666666666665
0,0,6.0,2.17139958499,5.0,2.10316377821,3.5
5.888888888888889,2.07022466315,0,0,4.428571428571429,1.96662716575,3.5
4.842105263157895,1.93541814372,5.142857142857143,1.95699039338,5.333333333333333,1.96939443694,3.3333333333333335
0,0,6.0,2.10923963451,6.0,2.11437508099,4.0
4.545454545454546,1.94158912752,4.923076923076923,1.97198785019,5.75,2.02461043773,3.3333333333333335
5.25,2.04637196466,0,0,5.25,2.05309182829,3.5
5.3,2.11017672968,5.5,2.12599894099,5.2,2.07702966911,3.5
5.0,2.05362344107,5.428571428571429,2.07908720663,6.0,2.11027715806,3.6666666666666665
5.666666666666667,2.12939630702,5.4,2.06758023589,5.571428571428571,2.10799843707,3.6666666666666665
5.333333333333333,2.02542273184,4.181818181818182,1.93313468197,5.5,2.03557883302,3.3333333333333335
5.1923076923076925,1.94954326177,4.0,1.83255705008,5.8,1.99678591467,3.5
5.6,2.0338894722,4.0,1.88240510883,4.7272727272727275,1.96229884851,3.5
5.483870967741935,1.92763028888,6.0,2.02366358381,0,0,3.6666666666666665
6.0,2.03939752832,6.0,2.03830616612,6.0,2.0389022044,4.0
5.25,1.9418285935,4.75,1.90528110545,0,0,3.3333333333333335
5.5,1.97246305333,5.571428571428571,1.98729283581,5.333333333333333,1.93631543294,3.6666666666666665
5.2,1.98010292168,5.6,2.0059598551,5.142857142857143,1.97634228016,3.5
6.0,2.09998801767,5.0,2.030547484,5.6,2.07425693956,3.5
5.481481481481482,1.9434122461,5.5,1.9472291457,6.0,2.04137917408,3.6666666666666665
6.0,2.03535443122,6.0,2.03535445076,6.0,2.03535443917,4.0
5.0625,1.87100609577,5.9375,2.05518225635,0,0,3.6666666666666665
6.0,2.19050564539,6.0,2.19050510492,6.0,2.18225237243,4.0
5.6923076923076925,2.11240062751,5.0,1.94265961684,5.466666666666667,2.06180032378,3.6666666666666665
5.428571428571429,1.97649158706,5.333333333333333,1.96998646093,0,0,3.5833333333333335
6.0,1.98185647347,6.0,1.98185646947,0,0,4.0
6.0,2.10742100395,0,0,4.666666666666667,2.02752357394,3.5
5.0,1.99057331884,5.3076923076923075,1.99766686632,5.0,1.99730181851,3.5
6.0,1.97927190744,6.0,1.9792718874,0,0,4.0
6.0,1.9651972709,6.0,1.97476503751,0,0,4.0
6.0,2.05020862193,6.0,2.06416249302,6.0,2.0564751033,4.0
5.333333333333333,1.98459550065,5.0,1.94533799835,5.166666666666667,1.96283464739,3.5
5.0,2.08617971389,6.0,2.15530930409,5.333333333333333,2.11258301788,3.6666666666666665
5.8,2.00276732482,4.5,1.90790011888,4.0,1.85413374892,3.5
5.0,1.97957357899,5.3076923076923075,1.97895380682,0,0,3.5
5.142857142857143,1.99789685778,4.705882352941177,1.96514675379,5.5,2.02079902841,3.3333333333333335
5.5,2.0597278518,5.5,2.05997020945,4.928571428571429,2.01880225415,3.5
4.9,2.02421724671,5.444444444444445,2.06099192828,5.384615384615385,2.05502589515,3.5
5.071428571428571,1.87823417143,5.833333333333333,2.04194468891,0,0,3.6666666666666665
5.454545454545454,1.97896641235,5.333333333333333,1.97321103263,5.0,1.94811560488,3.5833333333333335
5.25,1.98317844502,5.333333333333333,1.98862739684,6.0,2.03055232165,3.5833333333333335
5.15,1.959066161,5.444444444444445,1.95920776826,5.333333333333333,1.95890384134,3.5
5.25,2.11326327618,5.428571428571429,2.13766444503,5.190476190476191,2.10475769,3.5
6.0,1.96413012142,6.0,1.96413013466,0,0,4.0
6.0,2.04302775469,6.0,2.05172355239,6.0,2.04389792302,4.0
5.0,2.02729483558,5.333333333333333,2.0356137523,5.0,1.98900170671,3.5
